id,artifact_id,attempt_number,state,qa_decision,created_at,updated_at
0ef46dd5-6802-48e4-a802-f30e2f02640c,4a392f00-b5a3-4218-a3db-1ef0ed694c29,1,PHASE2_GENERATED,,2026-01-10 15:06:41.937939+00,2026-01-10 15:14:05.034865+00
3ab6a429-fda4-454d-bad5-98021f893ebe,33c1d1de-f9ca-4372-b14f-ec62ce3f5ad8,2,PHASE2_HITL_REVIEW,,2026-01-04 00:59:58.463599+00,2026-01-04 01:10:01.953514+00
3c18304c-8207-4a81-99c9-ee4f4a58a06d,4c285951-852c-4cf7-8e34-6090118230dd,1,PHASE2_GENERATED,,2026-01-14 00:04:51.131456+00,2026-01-14 00:21:13.834522+00
5b3e89ae-ed27-401d-a6e5-aa5904cb407a,0ecd1b54-ad27-456b-8518-ddb826f20fcc,2,PHASE2_HITL_REVIEW,,2026-01-03 23:15:42.732741+00,2026-01-03 23:28:44.203711+00
5bc7c2e4-b8da-4359-bb5d-ae40190db733,f15f816c-d589-4889-a24c-deaafce49209,1,PHASE2_GENERATED,,2026-01-16 06:14:03.198871+00,2026-01-16 06:27:40.214474+00
799e5d9c-e084-4a5b-ad2b-3dc707486478,9d29e510-f9c2-4e0e-9eeb-0a81fa5c2e42,1,PHASE2_GENERATED,,2026-01-14 01:56:42.186363+00,2026-01-14 02:06:24.101635+00
97d46e57-01a1-4b8f-ba2b-a7cd41ca1d40,5dd46e1a-3216-4dc8-a851-8ea242c5e263,1,PHASE2_GENERATED,,2026-01-15 00:01:07.094784+00,2026-01-15 14:31:59.660164+00
a67a2719-7964-4719-9145-bd2625efa331,9dae2760-d0c8-41e1-9078-06fbe3b3314a,1,PHASE2_HITL_REVIEW,,2026-01-16 23:14:45.578641+00,2026-01-17 00:19:39.772048+00
be425f0e-7de9-4382-9bf7-6e1430fbc97b,89eb8cdd-cf77-4ccb-ad23-f62490f5e270,1,PHASE2_APPROVED,"{""notes"": """", ""decision"": ""APPROVED"", ""reviewed_at"": ""2025-12-30T16:45:51.406Z"", ""reviewed_by"": ""qa-user""}",2025-12-30 16:43:51.269962+00,2025-12-30 16:45:51.504694+00
c31da164-fd53-4477-82c2-92592a3343d3,28f70651-b644-4325-b838-c925d752e278,1,PHASE2_APPROVED,"{""notes"": """", ""decision"": ""APPROVED"", ""reviewed_at"": ""2026-01-04T00:44:16.768Z"", ""reviewed_by"": ""qa-user""}",2026-01-04 00:29:22.114756+00,2026-01-04 00:44:16.917316+00
ce1241e0-a044-4daf-ba8e-732ef6d1b570,1466ff37-6c6b-4b58-bccf-374fad3e31dc,2,PHASE2_APPROVED,"{""notes"": """", ""decision"": ""APPROVED"", ""reviewed_at"": ""2025-12-31T15:56:33.567Z"", ""reviewed_by"": ""qa-user""}",2025-12-31 15:51:05.253867+00,2025-12-31 15:56:33.680109+00
ff779670-39e4-40fe-8978-54f3dd6a5ba8,2dd66901-d851-4066-8b7e-243dbbf3a578,1,PHASE2_APPROVED,"{""notes"": ""Auto-aprobado después de validación exitosa"", ""decision"": ""APPROVED"", ""reviewed_at"": ""2026-01-16T22:09:19.866Z"", ""reviewed_by"": ""qa-user""}",2026-01-16 17:54:50.15867+00,2026-01-16 22:09:20.025267+00
